CheeseId,ManufacturerProvCode,ManufacturingTypeEn,MoisturePercent,FlavourEn,CharacteristicsEn,Organic,CategoryTypeEn,MilkTypeEn,MilkTreatmentTypeEn,RindTypeEn,CheeseName,FatLevel,Community,Weather station,Location,Elevation,January(Avg. high °C (°F)),January(Avg. low °C (°F)),July(Avg. high °C (°F)),July(Avg. low °C (°F)),Annual(Avg. high °C (°F)),Annual(Avg. low °C (°F)),ProvinceCode
813,BC,Artisan,68.0,Not Specified,Not specified,0,Soft Cheese,Cow,Pasteurized,Not Specified,San Pareil,lower fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
813,BC,Artisan,68.0,Not Specified,Not specified,0,Soft Cheese,Cow,Pasteurized,Not Specified,San Pareil,lower fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
813,BC,Artisan,68.0,Not Specified,Not specified,0,Soft Cheese,Cow,Pasteurized,Not Specified,San Pareil,lower fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
813,BC,Artisan,68.0,Not Specified,Not specified,0,Soft Cheese,Cow,Pasteurized,Not Specified,San Pareil,lower fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
813,BC,Artisan,68.0,Not Specified,Not specified,0,Soft Cheese,Cow,Pasteurized,Not Specified,San Pareil,lower fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
814,BC,Artisan,47.06974708171206,Not Specified,Welsh-style cheese,0,Hard Cheese,Cow,Raw Milk,Not Specified,Caerphilly,higher fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
814,BC,Artisan,47.06974708171206,Not Specified,Welsh-style cheese,0,Hard Cheese,Cow,Raw Milk,Not Specified,Caerphilly,higher fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
814,BC,Artisan,47.06974708171206,Not Specified,Welsh-style cheese,0,Hard Cheese,Cow,Raw Milk,Not Specified,Caerphilly,higher fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
814,BC,Artisan,47.06974708171206,Not Specified,Welsh-style cheese,0,Hard Cheese,Cow,Raw Milk,Not Specified,Caerphilly,higher fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
814,BC,Artisan,47.06974708171206,Not Specified,Welsh-style cheese,0,Hard Cheese,Cow,Raw Milk,Not Specified,Caerphilly,higher fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
815,BC,Artisan,40.0,Mild tasting,Artisan Cheese,0,Firm Cheese,Cow,Pasteurized,No Rind,Monterey Jill,higher fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
815,BC,Artisan,40.0,Mild tasting,Artisan Cheese,0,Firm Cheese,Cow,Pasteurized,No Rind,Monterey Jill,higher fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
815,BC,Artisan,40.0,Mild tasting,Artisan Cheese,0,Firm Cheese,Cow,Pasteurized,No Rind,Monterey Jill,higher fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
815,BC,Artisan,40.0,Mild tasting,Artisan Cheese,0,Firm Cheese,Cow,Pasteurized,No Rind,Monterey Jill,higher fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
815,BC,Artisan,40.0,Mild tasting,Artisan Cheese,0,Firm Cheese,Cow,Pasteurized,No Rind,Monterey Jill,higher fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
816,BC,Artisan,38.0,"Onions, garlic, papika and sweet red pepper flakes.",Artisinal cheese,0,Hard Cheese,Cow,Raw Milk,Not Specified,Qualicum Spice,higher fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
816,BC,Artisan,38.0,"Onions, garlic, papika and sweet red pepper flakes.",Artisinal cheese,0,Hard Cheese,Cow,Raw Milk,Not Specified,Qualicum Spice,higher fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
816,BC,Artisan,38.0,"Onions, garlic, papika and sweet red pepper flakes.",Artisinal cheese,0,Hard Cheese,Cow,Raw Milk,Not Specified,Qualicum Spice,higher fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
816,BC,Artisan,38.0,"Onions, garlic, papika and sweet red pepper flakes.",Artisinal cheese,0,Hard Cheese,Cow,Raw Milk,Not Specified,Qualicum Spice,higher fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
816,BC,Artisan,38.0,"Onions, garlic, papika and sweet red pepper flakes.",Artisinal cheese,0,Hard Cheese,Cow,Raw Milk,Not Specified,Qualicum Spice,higher fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
817,BC,Artisan,44.0,"Plain or marinated in oil, garlic, sun-dried tomatoes and rosemary",Not specified,0,Soft Cheese,Cow,Pasteurized,No Rind,Little Qualicum Feta,lower fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
817,BC,Artisan,44.0,"Plain or marinated in oil, garlic, sun-dried tomatoes and rosemary",Not specified,0,Soft Cheese,Cow,Pasteurized,No Rind,Little Qualicum Feta,lower fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
817,BC,Artisan,44.0,"Plain or marinated in oil, garlic, sun-dried tomatoes and rosemary",Not specified,0,Soft Cheese,Cow,Pasteurized,No Rind,Little Qualicum Feta,lower fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
817,BC,Artisan,44.0,"Plain or marinated in oil, garlic, sun-dried tomatoes and rosemary",Not specified,0,Soft Cheese,Cow,Pasteurized,No Rind,Little Qualicum Feta,lower fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
817,BC,Artisan,44.0,"Plain or marinated in oil, garlic, sun-dried tomatoes and rosemary",Not specified,0,Soft Cheese,Cow,Pasteurized,No Rind,Little Qualicum Feta,lower fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
818,BC,Artisan,38.0,Not Specified,Artisanal cheese,0,Hard Cheese,Cow,Raw Milk,Not Specified,Raclette (Little Qualicum),higher fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
818,BC,Artisan,38.0,Not Specified,Artisanal cheese,0,Hard Cheese,Cow,Raw Milk,Not Specified,Raclette (Little Qualicum),higher fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
818,BC,Artisan,38.0,Not Specified,Artisanal cheese,0,Hard Cheese,Cow,Raw Milk,Not Specified,Raclette (Little Qualicum),higher fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
818,BC,Artisan,38.0,Not Specified,Artisanal cheese,0,Hard Cheese,Cow,Raw Milk,Not Specified,Raclette (Little Qualicum),higher fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
818,BC,Artisan,38.0,Not Specified,Artisanal cheese,0,Hard Cheese,Cow,Raw Milk,Not Specified,Raclette (Little Qualicum),higher fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
819,BC,Artisan,36.0,Hints of roasted nuts,Artisan Swiss-style Cheese,0,Firm Cheese,Cow,Raw Milk,Not Specified,Rathtrevor,higher fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
819,BC,Artisan,36.0,Hints of roasted nuts,Artisan Swiss-style Cheese,0,Firm Cheese,Cow,Raw Milk,Not Specified,Rathtrevor,higher fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
819,BC,Artisan,36.0,Hints of roasted nuts,Artisan Swiss-style Cheese,0,Firm Cheese,Cow,Raw Milk,Not Specified,Rathtrevor,higher fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
819,BC,Artisan,36.0,Hints of roasted nuts,Artisan Swiss-style Cheese,0,Firm Cheese,Cow,Raw Milk,Not Specified,Rathtrevor,higher fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
819,BC,Artisan,36.0,Hints of roasted nuts,Artisan Swiss-style Cheese,0,Firm Cheese,Cow,Raw Milk,Not Specified,Rathtrevor,higher fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
820,BC,Artisan,47.0,Gentle flavour with a creamy buttery taste,Not specified,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Comox Brie,lower fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
820,BC,Artisan,47.0,Gentle flavour with a creamy buttery taste,Not specified,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Comox Brie,lower fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
820,BC,Artisan,47.0,Gentle flavour with a creamy buttery taste,Not specified,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Comox Brie,lower fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
820,BC,Artisan,47.0,Gentle flavour with a creamy buttery taste,Not specified,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Comox Brie,lower fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
820,BC,Artisan,47.0,Gentle flavour with a creamy buttery taste,Not specified,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Comox Brie,lower fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
821,BC,Artisan,48.0,Delicate note of mushroom,Not specified,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Triple Cream Camembert,higher fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
821,BC,Artisan,48.0,Delicate note of mushroom,Not specified,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Triple Cream Camembert,higher fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
821,BC,Artisan,48.0,Delicate note of mushroom,Not specified,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Triple Cream Camembert,higher fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
821,BC,Artisan,48.0,Delicate note of mushroom,Not specified,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Triple Cream Camembert,higher fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
821,BC,Artisan,48.0,Delicate note of mushroom,Not specified,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Triple Cream Camembert,higher fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
822,BC,Artisan,41.0,Sweet buttery flavour with a mellow taste of herbs.  Nutty overtones with a tangy finish.,Not specified,0,Firm Cheese,Cow,Pasteurized,Not Specified,Amsterdammer,higher fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
822,BC,Artisan,41.0,Sweet buttery flavour with a mellow taste of herbs.  Nutty overtones with a tangy finish.,Not specified,0,Firm Cheese,Cow,Pasteurized,Not Specified,Amsterdammer,higher fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
822,BC,Artisan,41.0,Sweet buttery flavour with a mellow taste of herbs.  Nutty overtones with a tangy finish.,Not specified,0,Firm Cheese,Cow,Pasteurized,Not Specified,Amsterdammer,higher fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
822,BC,Artisan,41.0,Sweet buttery flavour with a mellow taste of herbs.  Nutty overtones with a tangy finish.,Not specified,0,Firm Cheese,Cow,Pasteurized,Not Specified,Amsterdammer,higher fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
822,BC,Artisan,41.0,Sweet buttery flavour with a mellow taste of herbs.  Nutty overtones with a tangy finish.,Not specified,0,Firm Cheese,Cow,Pasteurized,Not Specified,Amsterdammer,higher fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
823,BC,Artisan,43.0,Not Specified,Not specified,0,Firm Cheese,Cow,Pasteurized,Not Specified,Boerenkaas,higher fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
823,BC,Artisan,43.0,Not Specified,Not specified,0,Firm Cheese,Cow,Pasteurized,Not Specified,Boerenkaas,higher fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
823,BC,Artisan,43.0,Not Specified,Not specified,0,Firm Cheese,Cow,Pasteurized,Not Specified,Boerenkaas,higher fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
823,BC,Artisan,43.0,Not Specified,Not specified,0,Firm Cheese,Cow,Pasteurized,Not Specified,Boerenkaas,higher fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
823,BC,Artisan,43.0,Not Specified,Not specified,0,Firm Cheese,Cow,Pasteurized,Not Specified,Boerenkaas,higher fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
824,BC,Artisan,39.0,Bold fruity rich-tasting cheese.,Blend of Irish Derby and Italian-style Asiago.,0,Firm Cheese,Cow,Pasteurized,Not Specified,La Scala,higher fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
824,BC,Artisan,39.0,Bold fruity rich-tasting cheese.,Blend of Irish Derby and Italian-style Asiago.,0,Firm Cheese,Cow,Pasteurized,Not Specified,La Scala,higher fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
824,BC,Artisan,39.0,Bold fruity rich-tasting cheese.,Blend of Irish Derby and Italian-style Asiago.,0,Firm Cheese,Cow,Pasteurized,Not Specified,La Scala,higher fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
824,BC,Artisan,39.0,Bold fruity rich-tasting cheese.,Blend of Irish Derby and Italian-style Asiago.,0,Firm Cheese,Cow,Pasteurized,Not Specified,La Scala,higher fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
824,BC,Artisan,39.0,Bold fruity rich-tasting cheese.,Blend of Irish Derby and Italian-style Asiago.,0,Firm Cheese,Cow,Pasteurized,Not Specified,La Scala,higher fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
825,BC,Artisan,41.0,A mix of habanero and black pepper.,Not specified,0,Firm Cheese,Cow,Pasteurized,Not Specified,Pacific Pepper Verderlait,higher fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
825,BC,Artisan,41.0,A mix of habanero and black pepper.,Not specified,0,Firm Cheese,Cow,Pasteurized,Not Specified,Pacific Pepper Verderlait,higher fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
825,BC,Artisan,41.0,A mix of habanero and black pepper.,Not specified,0,Firm Cheese,Cow,Pasteurized,Not Specified,Pacific Pepper Verderlait,higher fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
825,BC,Artisan,41.0,A mix of habanero and black pepper.,Not specified,0,Firm Cheese,Cow,Pasteurized,Not Specified,Pacific Pepper Verderlait,higher fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
